zip_code,total_pop,median_household_incme,median_housing_value,city,state
98112,21622,96054,754200,seattle,wa
98177,18642,95648,478600,seattle,wa
98117,30719,86986,463500,seattle,wa
98136,14899,84344,445700,seattle,wa
98115,47611,84159,492700,seattle,wa
98199,20623,82882,606200,seattle,wa
98109,22030,77034,451400,seattle,wa
98103,47019,75763,478200,seattle,wa
98116,23671,74274,467900,seattle,wa
98164,57,73833,-1,seattle,wa
98155,32942,72281,340900,seattle,wa
98119,22360,68383,608300,seattle,wa
98107,21996,67566,447700,seattle,wa
98126,20631,66408,358100,seattle,wa
98102,22493,65054,406000,seattle,wa
98166,20154,63320,386900,seattle,wa
98121,12183,59355,417100,seattle,wa
98178,24844,58707,283100,seattle,wa
98106,23855,57875,281700,seattle,wa
98146,25281,56809,308400,seattle,wa
98198,35197,56364,258500,seattle,wa
98144,26429,55950,391000,seattle,wa
98122,32722,53570,407600,seattle,wa
98125,36644,53044,372000,seattle,wa
98118,43618,52276,350700,seattle,wa
98108,24026,52232,326500,seattle,wa
98133,46405,51499,326400,seattle,wa
98168,33585,49233,240000,seattle,wa
98105,45332,45560,613900,seattle,wa
98148,10521,45424,255900,seattle,wa
98134,856,43151,234400,seattle,wa
98101,10643,42938,420800,seattle,wa
98188,23478,40815,226800,seattle,wa
98104,12871,26637,392000,seattle,wa
98154,0,-1,-1,seattle,wa
98158,0,-1,-1,seattle,wa
98174,63,-1,-1,seattle,wa
98195,29,-1,-1,seattle,wa